Place_ID,가게명,주소,요일,시간대,평균혼잡도
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,20시,54
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,21시,48
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,22시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,23시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,2시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,3시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,4시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,5시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,6시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,7시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,8시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,9시,18
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,0시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,10시,36
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,11시,42
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,12시,60
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,13시,75
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,14시,69
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,15시,57
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,16시,39
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,17시,30
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,18시,21
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,19시,39
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,1시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,20시,60
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,21시,66
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,22시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,23시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,2시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,3시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,4시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,5시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,6시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,7시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,8시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",금,9시,21
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,0시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,10시,27
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,11시,33
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,12시,60
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,13시,87
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,14시,100
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",토,15시,93
